[10-12 16:32:11 313 INFO ] [main] maven.load.StartDsfService - +++++++++++++++++++++ staring +++++++++++++++++++++

[10-12 16:32:11 314 INFO ] [main] maven.load.StartDsfService - user.dir: D:\dsf
[10-12 16:32:11 315 INFO ] [main] maven.load.StartDsfService - rootPath: D:\dsf/
[10-12 16:32:11 315 INFO ] [main] maven.load.StartDsfService - service dsf_config.xml: D:\dsf/service/deploy/aicircle_dsf_common_service/dsf_config.xml
[10-12 16:32:11 315 INFO ] [main] maven.load.StartDsfService - default dsf_config.xml: D:\dsf/conf/dsf_config.xml
[10-12 16:32:11 315 INFO ] [main] maven.load.StartDsfService - service dsf_log4j.xml: D:\dsf/service/deploy/aicircle_dsf_common_service/dsf_log4j.xml
[10-12 16:32:11 315 INFO ] [main] maven.load.StartDsfService - default dsf_log4j.xml: D:\dsf/conf/dsf_log4j.xml
[10-12 16:32:11 316 INFO ] [main] maven.load.StartDsfService - -----------------loading global jars------------------
[10-12 16:32:11 330 INFO ] [main] maven.load.StartDsfService - -------------------------end-------------------------

[10-12 16:32:11 331 INFO ] [main] maven.load.StartDsfService - --------------------loading proxys-------------------
[10-12 16:32:11 333 INFO ] [main] deploy.bytecode.ScanClass - begin scan jar from path:D:\dsf/service/deploy/aicircle_dsf_common_service
[10-12 16:32:13 246 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.haobo.aicircle.resume.contract.IUpUserCluesFollowRecordService between D:\dsf\service\deploy\aicircle_dsf_common_service\com.daojia.haobo.aicircle.resume.servicee-0.0.1-SNAPSHOT.jar and D:\dsf\service\deploy\aicircle_dsf_common_service\com.daojia.haobo.aicircle.resume.service-0.0.1-SNAPSHOT.jar
[10-12 16:32:13 247 ERROR] [main] deploy.bytecode.ScanClass - there exists same class:com.daojia.haobo.aicircle.resume.entity.UpUserCluesFollowRecordEntity between D:\dsf\service\deploy\aicircle_dsf_common_service\com.daojia.haobo.aicircle.resume.servicee-0.0.1-SNAPSHOT.jar and D:\dsf\service\deploy\aicircle_dsf_common_service\com.daojia.haobo.aicircle.resume.service-0.0.1-SNAPSHOT.jar
[10-12 16:32:13 710 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:org.apache.commons.collections.ArrayStack between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-collections-3.2.jar and D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-beanutils-1.8.3.jar
[10-12 16:32:13 711 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:org.apache.commons.collections.Buffer between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-collections-3.2.jar and D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-beanutils-1.8.3.jar
[10-12 16:32:13 711 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:org.apache.commons.collections.BufferUnderflowException between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-collections-3.2.jar and D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-beanutils-1.8.3.jar
[10-12 16:32:13 711 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:org.apache.commons.collections.FastHashMap$1 between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-collections-3.2.jar and D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-beanutils-1.8.3.jar
[10-12 16:32:13 711 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:org.apache.commons.collections.FastHashMap$CollectionView$CollectionViewIterator between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-collections-3.2.jar and D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-beanutils-1.8.3.jar
[10-12 16:32:13 711 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:org.apache.commons.collections.FastHashMap$CollectionView between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-collections-3.2.jar and D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-beanutils-1.8.3.jar
[10-12 16:32:13 711 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:org.apache.commons.collections.FastHashMap$EntrySet between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-collections-3.2.jar and D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-beanutils-1.8.3.jar
[10-12 16:32:13 711 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:org.apache.commons.collections.FastHashMap$KeySet between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-collections-3.2.jar and D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-beanutils-1.8.3.jar
[10-12 16:32:13 711 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:org.apache.commons.collections.FastHashMap$Values between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-collections-3.2.jar and D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-beanutils-1.8.3.jar
[10-12 16:32:13 711 WARN ] [main] deploy.bytecode.ScanClass - there exists same class:org.apache.commons.collections.FastHashMap between D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-collections-3.2.jar and D:\dsf\service\deploy\aicircle_dsf_common_service\lib\commons-beanutils-1.8.3.jar
